Time,State of Charge (MWh),Charge Take from Hourly Market (MWh),Discharge to Hourly market (MWh),Is Charging in Hourly Market,Charge taken from Half Hourly Market (MWh),Discharge to Half Hourly Market (MWh),Is Charging in Half Hourly Market,Current Degradation (MWh),Total Cycles,Hourly Price (£/MWh),Half Hourly Price (£/MWh),Objective Value (£)
0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.89,48.47,-499431.6953007451
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.89,49.81,-499431.6953007451
2,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.25e-05,0.125,55.49,53.65,-499431.6953007451
3,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.8750000000000002e-05,0.1875,55.49,52.48,-499431.6953007451
4,0.33333333333333415,0.0,0.16666666666666582,0.0,0.0,0.0,0.0,2.0833333333333322e-05,0.20833333333333323,51.06,47.25,-499431.6953007451
5,0.16666666666666582,0.0,0.16666666666666582,0.0,0.0,0.0,0.0,2.2916666666666647e-05,0.22916666666666646,51.06,47.18,-499431.6953007451
6,0.16666666666666582,0.0,0.0,0.0,-0.0,0.0,-0.0,2.2916666666666647e-05,0.22916666666666646,44.76,40.24,-499431.6953007451
7,1.1166666666666658,0.0,0.0,1.0,1.0,0.0,1.0,3.541666666666666e-05,0.35416666666666663,44.76,38.56,-499431.6953007451
8,2.0666666666666655,0.0,0.0,1.0,0.9999999999999997,0.0,1.0,4.791666666666666e-05,0.4791666666666666,40.07,37.55,-499431.6953007451
9,3.016666666666665,-0.0,0.0,1.0,0.9999999999999997,0.0,1.0,6.0416666666666653e-05,0.6041666666666665,40.07,36.56,-499431.6953007451
10,3.5082998905708944,0.0,0.0,1.0,0.5175086567412941,0.0,1.0,6.688552487593283e-05,0.6688552487593282,44.42,39.25,-499431.6953007451
11,3.7541148853190967,0.0,0.0,1.0,0.2587526260507392,0.0,1.0,7.011993270156707e-05,0.7011993270156707,44.42,41.23,-499431.6953007451
12,3.7541148853190967,0.0,0.0,0.0,0.0,0.0,0.0,7.011993270156707e-05,0.7011993270156707,50.295,45.68,-499431.6953007451
13,3.7541148853190967,0.0,0.0,0.0,-0.0,0.0,-0.0,7.011993270156707e-05,0.7011993270156707,50.295,44.83,-499431.6953007451
14,2.927005793829554,0.0,0.8271090914895428,0.0,0.0,0.0,0.0,8.045879634518635e-05,0.8045879634518635,52.145,48.87,-499431.6953007451
15,2.0998967023400112,0.0,0.8271090914895428,0.0,0.0,0.0,0.0,9.079765998880564e-05,0.9079765998880563,52.145,50.73,-499431.6953007451
16,3.049896702340011,0.0,0.0,1.0,1.0,0.0,1.0,0.00010329765998880563,1.0329765998880562,48.33,45.01,-499431.6953007451
17,3.049896702340011,0.0,0.0,0.0,0.0,0.0,0.0,0.00010329765998880563,1.0329765998880562,48.33,48.87,-499431.6953007451
18,3.52489357736057,0.0,0.0,1.0,0.49999671054795713,0.0,1.0,0.0001095476188706551,1.095476188706551,44.595,44.41,-499431.6953007451
19,3.7623904523914087,0.0,0.0,1.0,0.24999671055877745,0.0,1.0,0.00011267257775263982,1.1267257775263981,44.595,42.59,-499431.6953007451
20,3.7623904523914087,0.0,0.0,0.0,-0.0,0.0,0.0,0.00011267257775263982,1.1267257775263981,44.37,46.15,-499431.6953007451
21,3.7623904523914087,-0.0,0.0,0.0,0.0,0.0,0.0,0.00011267257775263982,1.1267257775263981,44.37,46.19,-499431.6953007451
